"","min.FV","min.AV","max.FV","max.AV","mean.FV","mean.AV"
"Elevation",1842.04,1806.65,2146.06,2137.72,1983.13,1972.74
"Slope",0.01,0.04,1.13,1.05,0.31,0.38
"North exposure",-0.56,-0.66,0.76,0.71,0.06,0.07
"East exposure",-0.68,-0.74,0.82,0.79,-0.04,-0.05
"Solar radiation",394.24,462.43,1321.05,1356.08,1068.07,1015.38
"Distance from glacier",1.3,1.97,2386.36,2445.92,1206.08,1308.83
"Vegetation heigh",0,0,19.26,22.14,0,0
"Distance from water",0.17,0.35,299.13,272.63,48.91,42.83
"Roughness",0.1,0.1,3.09,2.3,0.35,0.44
